Black,BlackElo,BlackRatingDiff,Event,Opening,Result,Site,Termination,TimeControl,White,WhiteElo,WhiteRatingDiff,Eval,WinElo,EloDiff
lpaulmp,1449,-6,Rated Bullet game,Queen's Gambit Declined,1,https://lichess.org/ZxvLJH20,Normal,60+0,sisy,1645,+5,123,1449,196
ftri67,1672,+8,Rated Blitz game,French Defense,0,https://lichess.org/1vAdLOmn,Time forfeit,360+0,capablanca1950,1603,-8,0,1672,-69
mike81,1280,-14,Rated Bullet game,Queen's Pawn Game,1,https://lichess.org/s1RfrWEQ,Normal,120+1,daamien,1166,+42,2,1280,-114
JACKELCALVO,1449,-10,Rated Blitz game,French Defense,1,https://lichess.org/4lE9x19F,Normal,180+0,yaavarmo,1494,+10,8,1449,45
galita,1285,-12,Rated Bullet game,Queen's Gambit Declined,1,https://lichess.org/lVtEXmaA,Time forfeit,60+1,albinofrenchy,1256,+20,-21,1285,-29
rotate_the_board,1374,+36,Rated Bullet game,French Defense,0,https://lichess.org/AbLg5EB9,Normal,120+0,vika-5,1394,-11,100,1374,20
Slavik-7,2564,+1,Rated Bullet game,Zukertort Opening,0,https://lichess.org/aAdTQhxo,Time forfeit,60+0,igo1,2072,-1,52,2564,-492
polyman,1663,-15,Rated Blitz game,Scandinavian Defense,1,https://lichess.org/2hTn1lID,Normal,180+0,beandbecome,1564,+13,62,1663,-99
ximoxo,1956,+2,Rated Classical game,Caro-Kann Defense,0,https://lichess.org/Ezhi9cGN,Time forfeit,480+1,--o-o-o--,1524,-1,24,1956,-432
falanx,1603,-9,Rated Bullet game,Scandinavian Defense,1,https://lichess.org/TgtgCG2M,Time forfeit,60+0,Rahstah,1659,+10,66,1603,56
mozbet,1511,-16,Rated Blitz game,King's Indian Attack,1,https://lichess.org/MxdUl1Jz,Normal,240+0,DxDeathusu,1312,+19,-3,1511,-199
juliocrv,1664,+5,Rated Blitz tournament https://lichess.org/tournament/ALSPH3ta,Sicilian Defense,0,https://lichess.org/ewReqKHz,Normal,300+0,krisfo97,1500,-110,-532,1664,-164
HenryCow,1690,+5,Rated Classical game,English Opening,0,https://lichess.org/U1tAHQji,Time forfeit,2100+8,vahid58,1353,-19,-1,1690,-337
Heisenberg_CH3NH2,1974,-9,Rated Blitz game,Sicilian Defense,1,https://lichess.org/lyrfkOew,Time forfeit,300+0,milancuruvija,2028,+9,65,1974,54
Calisto,1503,-11,Rated Bullet game,Sicilian Defense,1,https://lichess.org/saEfzLuh,Time forfeit,0+3,vishyAnand40,1487,+11,-40,1503,-16
abcabc,1452,-7,Rated Blitz game,French Defense,1,https://lichess.org/pzdsBcMr,Normal,300+2,bodul,1593,+7,213,1452,141
vlad-61,1946,-18,Rated Blitz game,Rat Defense,1,https://lichess.org/TDoMNCMe,Normal,180+4,Tingolt,1885,+19,81,1946,-61
DolfjeWeerwolfje,1750,+24,Rated Bullet game,Rat Defense,0,https://lichess.org/J3G1bAzx,Normal,60+0,faryad22,1856,-14,12,1750,106
micaballosaltar,1500,-169,Rated Classical game,Bishop's Opening,1,https://lichess.org/KWAFpflz,Normal,300+8,Sommer2130,1513,+8,-65,1500,13
spring61,1872,-15,Rated Bullet game,Caro-Kann Defense,1,https://lichess.org/ZIhPmC2A,Time forfeit,60+0,potsy722,1766,+16,28,1872,-106
gelu_mioara,1427,-10,Rated Bullet game,Philidor Defense,1,https://lichess.org/cQaZABlD,Time forfeit,120+1,Johpress,1441,+10,135,1427,14
Tibul,1901,-17,Rated Classical game,Scandinavian Defense,1,https://lichess.org/OH9BtICW,Time forfeit,600+0,zgambit,1774,+14,44,1901,-127
champtazz14,1546,+11,Rated Blitz game,Philidor Defense,0,https://lichess.org/Ake7IlE0,Normal,180+0,FrereKeiser,1527,-10,25,1546,-19
Sajonia,1673,-5,Rated Blitz tournament https://lichess.org/tournament/ALSPH3ta,Philidor Defense,1,https://lichess.org/xx0jjDLh,Normal,300+0,Anoonymous,1923,+45,28,1673,250
jalalmsi0131,1247,-23,Rated Classical game,Caro-Kann Defense,1,https://lichess.org/l6hDbLMs,Normal,900+5,hossein67,1752,+23,59,1247,505
wandal,1416,+13,Rated Bullet game,King's Gambit Accepted,0,https://lichess.org/0VONOcwB,Time forfeit,60+2,libi,1485,-14,48,1416,69
kromzom,2121,-17,Rated Blitz game,Old Indian Defense,1,https://lichess.org/zblpdWP5,Normal,120+2,hachechinno,1884,+18,61,2121,-237
AkibachessMan,1703,-8,Rated Blitz game,English Opening,1,https://lichess.org/avkNAYh8,Time forfeit,180+0,Drole2Type,1790,+8,17,1703,87
ruilopecito,1470,+3,Rated Classical game,Queen's Pawn Opening,0,https://lichess.org/1A8Gtp4c,Normal,480+2,Hishamtheman,1166,-5,40,1470,-304
bobby84,1882,+12,Rated Blitz game,French Defense,0,https://lichess.org/0SUIXtRg,Normal,180+0,Oluja95,1930,-12,7,1882,48
pseudoknight,1840,+10,Rated Bullet game,Mieses Opening,0,https://lichess.org/Gn5OTD32,Time forfeit,60+1,escarabajo12,1784,-9,19,1840,-56
alembuysakralhenry,1500,-56,Rated Bullet tournament https://lichess.org/tournament/GryAvpp1,Scandinavian Defense,1,https://lichess.org/KXtX7YwK,Normal,60+0,Voittamaton,1868,+3,598,1500,368
martis95,1469,-4,Rated Classical game,Nimzo-Larsen Attack,1,https://lichess.org/4lIaBKMM,Normal,300+10,joecollege101,1752,+4,-87,1469,283
sisy,1650,-17,Rated Bullet game,Mieses Opening,1,https://lichess.org/CmDEYGHS,Time forfeit,60+0,lpaulmp,1443,+18,47,1650,-207
WinstonSmith11,1639,+10,Rated Blitz game,Italian Game,0,https://lichess.org/v8b2sD93,Time forfeit,300+0,savori,1614,-10,89,1639,-25
bbrunnoo,1704,+28,Rated Classical game,King's Pawn Game,0,https://lichess.org/akCJ2c6w,Normal,900+0,ChessAstur,1453,-5,306,1704,-251
nazaki1234,2046,+8,Rated Bullet game,Zukertort Opening,0,https://lichess.org/5kNlAVGO,Time forfeit,60+0,Kobylka,1942,-8,7,2046,-104
Morten123,1239,+11,Rated Blitz game,Three Knights Opening,0,https://lichess.org/qgharHaj,Time forfeit,180+1,di360,1254,-11,-16,1239,15
makyavel44,1277,-42,Rated Blitz game,Queen's Pawn Game #2,1,https://lichess.org/UnJfoSvj,Normal,420+0,etrussk346,1401,+7,582,1277,124
Azzam,1652,+10,Rated Classical game,Hungarian Opening,0,https://lichess.org/YKKkcCVc,Time forfeit,600+0,hungaria,1620,-10,-28,1652,-32
